id, time
1, 0.597
2, 0.461
3, 0.486
4, 0.481
5, 0.473
6, 0.449
7, 0.601
8, 0.463
9, 0.470
10, 0.500
11, 0.472
12, 0.484
13, 0.490
14, 0.502
15, 0.520
16, 0.507
17, 0.522
18, 0.492
19, 0.602
20, 0.665
21, 0.654
22, 0.498
23, 0.485
24, 0.500
25, 0.597
26, 0.644
27, 0.491
28, 0.589
29, 0.512
30, 0.659
31, 0.530
32, 0.494
33, 0.493
34, 0.517
35, 0.650
36, 0.563
37, 0.504
38, 0.569
39, 0.489
40, 0.485
41, 0.657
42, 0.523
43, 0.506
44, 0.491
45, 0.499
46, 0.624
47, 0.489
48, 0.536
49, 0.495
50, 0.503
51, 0.534
52, 0.507
53, 0.533
54, 0.521
55, 0.514
56, 0.571
57, 0.526
58, 0.608
59, 0.520
60, 0.544
61, 0.515
62, 0.514
63, 0.524
64, 0.505
65, 0.664
66, 0.531
67, 0.543
68, 0.565
69, 0.514
70, 0.570
71, 0.522
72, 0.518
73, 0.508
74, 0.546
75, 0.482
76, 0.553
77, 0.552
78, 0.527
79, 0.514
80, 0.505
81, 0.532
82, 0.515
83, 0.526
84, 0.530
85, 0.534
86, 0.532
87, 0.499
88, 0.557
89, 0.546
90, 0.520
91, 0.510
92, 0.535
93, 0.510
94, 0.597
95, 0.495
96, 0.592
97, 0.502
98, 0.525
99, 0.521
100, 0.546
