id, time
1, 1.028
2, 1.054
3, 1.138
4, 1.122
5, 1.223
6, 1.252
7, 1.236
8, 1.243
9, 1.321
10, 1.386
11, 1.287
12, 1.273
13, 1.304
14, 1.325
15, 1.419
16, 1.409
17, 1.443
18, 1.428
19, 1.482
20, 1.509
21, 1.457
22, 1.532
23, 1.539
24, 1.606
25, 1.421
26, 1.585
27, 1.582
28, 1.469
29, 1.570
30, 1.444
31, 1.635
32, 1.559
33, 1.737
34, 1.524
35, 1.773
36, 1.576
37, 1.782
38, 1.631
39, 1.947
40, 1.653
41, 1.997
42, 1.725
43, 1.884
44, 1.825
45, 1.912
46, 1.833
47, 2.071
48, 1.810
49, 1.817
50, 2.047
51, 2.103
52, 1.944
53, 2.116
54, 2.020
55, 2.104
56, 2.213
57, 1.948
58, 2.381
59, 2.400
60, 2.202
61, 2.319
62, 2.283
63, 2.354
64, 2.109
65, 2.258
66, 2.656
67, 2.422
68, 2.482
69, 2.614
70, 2.350
71, 2.579
72, 2.442
73, 2.642
74, 3.396
75, 2.810
76, 2.692
77, 2.651
78, 2.546
79, 2.742
80, 2.596
81, 2.797
82, 2.556
83, 2.745
84, 2.608
85, 2.841
86, 2.643
87, 2.891
88, 2.651
89, 3.268
90, 2.578
91, 3.013
92, 2.678
93, 3.087
94, 2.606
95, 3.349
96, 2.783
97, 3.322
98, 2.754
99, 4.169
100, 3.326
