id, time
1, 1.165
2, 1.078
3, 1.109
4, 1.114
5, 1.121
6, 1.219
7, 1.161
8, 1.175
9, 1.195
10, 1.258
11, 1.222
12, 1.280
13, 1.352
14, 1.295
15, 1.367
16, 1.362
17, 1.366
18, 1.436
19, 1.467
20, 1.511
21, 1.454
22, 1.307
23, 1.517
24, 1.501
25, 1.398
26, 1.501
27, 1.422
28, 1.579
29, 1.698
30, 1.666
31, 1.503
32, 1.689
33, 1.508
34, 1.672
35, 1.574
36, 1.839
37, 1.655
38, 1.775
39, 1.725
40, 2.062
41, 1.796
42, 1.737
43, 1.842
44, 1.860
45, 1.878
46, 2.005
47, 1.774
48, 2.206
49, 1.917
50, 1.934
