id, time
1, 0.634
2, 0.475
3, 0.526
4, 0.438
5, 0.506
6, 0.490
7, 0.440
8, 0.437
9, 0.480
10, 0.494
11, 0.500
12, 0.477
13, 0.414
14, 0.489
15, 0.562
16, 0.522
17, 0.484
18, 0.494
19, 0.509
20, 0.495
21, 0.493
22, 0.504
23, 0.485
24, 0.492
25, 0.486
26, 0.506
27, 0.482
28, 0.483
29, 0.467
30, 0.509
31, 0.500
32, 0.554
33, 0.484
34, 0.493
35, 0.506
36, 0.487
37, 0.480
38, 0.483
39, 0.496
40, 0.498
41, 0.514
42, 0.499
43, 0.499
44, 0.503
45, 0.532
46, 0.505
47, 0.513
48, 0.524
49, 0.499
50, 0.496
51, 0.491
52, 0.497
53, 0.508
54, 0.491
55, 0.500
56, 0.508
57, 0.527
58, 0.520
59, 0.484
60, 0.502
61, 0.524
62, 0.494
63, 0.485
64, 0.524
65, 0.510
66, 0.530
67, 0.509
68, 0.507
69, 0.496
70, 0.502
71, 0.507
72, 0.501
73, 0.484
74, 0.487
75, 0.518
76, 0.502
77, 0.502
78, 0.490
79, 0.496
80, 0.517
81, 0.507
82, 0.509
83, 0.519
84, 0.514
85, 0.495
86, 0.508
87, 0.529
88, 0.500
89, 0.502
90, 0.511
91, 0.495
92, 0.487
93, 0.477
94, 0.522
95, 0.519
96, 0.504
97, 0.498
98, 0.506
99, 0.505
100, 0.503
