id, time
1, 0.582
2, 0.454
3, 0.486
4, 0.424
5, 0.457
6, 0.479
7, 0.484
8, 0.426
9, 0.469
10, 0.479
11, 0.474
12, 0.482
13, 0.466
14, 0.499
15, 0.522
16, 0.517
17, 0.493
18, 0.505
19, 0.499
20, 0.485
21, 0.508
22, 0.489
23, 0.488
24, 0.498
25, 0.490
26, 0.500
27, 0.478
28, 0.481
29, 0.543
30, 0.510
31, 0.537
32, 0.497
33, 0.492
34, 0.494
35, 0.491
36, 0.490
37, 0.501
38, 0.504
39, 0.493
40, 0.498
41, 0.516
42, 0.506
43, 0.518
44, 0.489
45, 0.521
46, 0.510
47, 0.493
48, 0.496
49, 0.501
50, 0.507
