id, time
1, 0.597
2, 0.515
3, 0.453
4, 0.584
5, 0.456
6, 0.431
7, 0.449
8, 0.422
9, 0.427
10, 0.430
11, 0.434
12, 0.443
13, 0.462
14, 0.478
15, 0.497
16, 0.527
17, 0.640
18, 0.510
19, 0.509
20, 0.542
21, 0.504
22, 0.507
23, 0.500
24, 0.505
25, 0.554
26, 0.507
27, 0.486
28, 0.546
29, 0.542
30, 0.546
31, 0.526
32, 0.554
33, 0.505
34, 0.504
35, 0.509
36, 0.575
37, 0.526
38, 0.525
39, 0.506
40, 0.562
41, 0.588
42, 0.487
43, 0.506
44, 0.486
45, 0.529
46, 0.538
47, 0.501
48, 0.495
49, 0.566
50, 0.478
