id, time
1, 1.201
2, 1.132
3, 1.155
4, 1.130
5, 1.158
6, 1.178
7, 1.181
8, 1.204
9, 1.229
10, 1.258
11, 1.244
12, 1.258
13, 1.307
14, 1.361
15, 1.344
16, 1.372
17, 1.375
18, 1.438
19, 1.531
20, 1.542
21, 1.538
22, 1.541
23, 1.555
24, 1.603
25, 1.431
26, 1.554
27, 1.630
28, 1.519
29, 1.639
30, 1.552
31, 1.777
32, 1.516
33, 1.695
34, 1.621
35, 1.725
36, 1.655
37, 1.870
38, 1.668
39, 1.822
40, 1.629
41, 2.102
42, 1.728
43, 1.876
44, 1.800
45, 1.953
46, 1.971
47, 2.134
48, 1.987
49, 2.089
50, 1.935
51, 2.051
52, 2.083
53, 2.304
54, 2.479
55, 2.308
56, 2.233
57, 2.114
58, 2.337
59, 2.251
60, 2.354
61, 2.844
62, 2.498
63, 2.460
64, 2.409
65, 2.532
66, 2.640
67, 2.456
68, 2.704
69, 2.494
70, 2.836
71, 2.657
72, 2.834
73, 2.868
74, 2.718
75, 2.486
76, 2.761
77, 2.610
78, 2.801
79, 2.701
80, 2.990
81, 2.704
82, 3.450
83, 3.002
84, 2.656
85, 3.203
86, 2.751
87, 3.605
88, 3.299
89, 2.793
90, 3.302
91, 2.736
92, 3.425
93, 3.311
94, 3.103
95, 3.036
96, 3.562
97, 3.225
98, 3.517
99, 3.040
100, 3.840
