id, time
1, 0.608
2, 0.485
3, 0.641
4, 0.458
5, 0.478
6, 0.475
7, 0.467
8, 0.459
9, 0.450
10, 0.439
11, 0.437
12, 0.439
13, 0.492
14, 0.505
15, 0.517
16, 0.510
17, 0.505
18, 0.474
19, 0.475
20, 0.476
21, 0.469
22, 0.482
23, 0.504
24, 0.508
25, 0.499
26, 0.501
27, 0.455
28, 0.475
29, 0.489
30, 0.483
31, 0.477
32, 0.477
33, 0.471
34, 0.486
35, 0.477
36, 0.574
37, 0.805
38, 0.524
39, 0.491
40, 0.473
41, 0.473
42, 0.484
43, 0.496
44, 0.501
45, 0.511
46, 0.504
47, 0.502
48, 0.511
49, 0.490
50, 0.495
51, 0.541
52, 0.505
53, 0.494
54, 0.510
55, 0.510
56, 0.560
57, 0.506
58, 0.494
59, 0.490
60, 0.494
61, 0.498
62, 0.496
63, 0.489
64, 0.501
65, 0.496
66, 0.498
67, 0.480
68, 0.493
69, 0.503
70, 0.484
71, 0.487
72, 0.475
73, 0.484
74, 0.492
75, 0.483
76, 0.495
77, 0.509
78, 0.490
79, 0.482
80, 0.491
81, 0.496
82, 0.489
83, 0.485
84, 0.499
85, 0.496
86, 0.499
87, 0.499
88, 0.492
89, 0.496
90, 0.505
91, 0.501
92, 0.523
93, 0.493
94, 0.479
95, 0.488
96, 0.507
97, 0.516
98, 0.536
99, 0.502
100, 0.518
101, 0.496
102, 0.482
103, 0.501
104, 0.499
105, 0.493
106, 0.506
107, 0.476
108, 0.494
109, 0.494
110, 0.494
111, 0.507
112, 0.496
113, 0.509
114, 0.531
115, 0.512
116, 0.492
117, 0.533
118, 0.500
119, 0.510
120, 0.512
121, 0.499
122, 0.516
123, 0.520
124, 0.512
125, 0.512
126, 0.514
127, 0.527
128, 0.513
129, 0.580
130, 0.551
131, 0.527
132, 0.505
133, 0.505
134, 0.581
135, 0.581
136, 0.518
137, 0.505
138, 0.524
139, 0.508
140, 0.499
141, 0.502
142, 0.505
143, 0.513
144, 0.517
145, 0.505
146, 0.493
147, 0.494
148, 0.496
149, 0.516
150, 0.497
151, 0.509
152, 0.481
153, 0.500
154, 0.498
155, 0.519
156, 0.504
157, 0.501
158, 0.523
159, 0.528
160, 0.518
161, 0.531
162, 0.517
163, 0.520
164, 0.515
165, 0.517
166, 0.518
167, 0.548
168, 0.591
169, 0.518
170, 0.513
171, 0.525
172, 0.516
173, 0.518
174, 0.514
175, 0.505
176, 0.508
177, 0.530
178, 0.500
179, 0.507
180, 0.507
181, 0.496
182, 0.504
183, 0.515
184, 0.504
185, 0.513
186, 0.509
187, 0.512
188, 0.515
189, 0.514
190, 0.511
191, 0.513
192, 0.509
193, 0.511
194, 0.505
195, 0.510
196, 0.543
197, 0.563
198, 0.516
199, 0.526
200, 0.513
201, 0.515
202, 0.531
203, 0.546
204, 0.506
205, 0.497
206, 0.514
207, 0.525
208, 0.521
209, 0.532
210, 0.510
211, 0.521
212, 0.511
213, 0.505
214, 0.567
215, 0.508
216, 0.535
217, 0.536
218, 0.535
219, 0.537
220, 0.530
221, 0.518
222, 0.526
223, 0.514
224, 0.509
225, 0.509
226, 0.520
227, 0.505
228, 0.521
229, 0.509
230, 0.511
231, 0.507
232, 0.509
233, 0.509
234, 0.515
235, 0.576
236, 0.517
237, 0.515
238, 0.501
239, 0.514
240, 0.513
241, 0.499
242, 0.502
243, 0.529
244, 0.503
245, 0.504
