id, time
1, 0.618
2, 0.461
3, 0.474
4, 0.415
5, 0.423
6, 0.455
7, 0.456
8, 0.467
9, 0.473
10, 0.427
11, 0.444
12, 0.480
13, 0.481
14, 0.537
15, 0.523
16, 0.533
17, 0.490
18, 0.481
19, 0.474
20, 0.517
21, 0.471
22, 0.481
23, 0.492
24, 0.492
25, 0.479
26, 0.482
27, 0.484
28, 0.475
29, 0.482
30, 0.477
31, 0.482
32, 0.484
33, 0.487
34, 0.484
35, 0.488
36, 0.488
37, 0.495
38, 0.497
39, 0.494
40, 0.489
41, 0.482
42, 0.486
43, 0.474
44, 0.491
45, 0.489
46, 0.475
47, 0.497
48, 0.494
49, 0.486
50, 0.488
51, 0.492
52, 0.532
53, 0.480
54, 0.499
55, 0.490
56, 0.478
57, 0.490
58, 0.499
59, 0.502
60, 0.493
61, 0.478
62, 0.500
63, 0.482
64, 0.483
65, 0.476
66, 0.484
67, 0.487
68, 0.482
69, 0.492
70, 0.489
71, 0.496
72, 0.502
73, 0.490
74, 0.525
75, 0.490
76, 0.477
77, 0.498
78, 0.472
79, 0.486
80, 0.490
81, 0.488
82, 0.491
83, 0.489
84, 0.480
85, 0.495
86, 0.507
87, 0.492
88, 0.489
89, 0.494
90, 0.492
91, 0.532
92, 0.484
93, 0.502
94, 0.538
95, 0.514
96, 0.482
97, 0.502
98, 0.506
99, 0.493
100, 0.521
101, 0.515
102, 0.508
103, 0.494
104, 0.491
105, 0.511
106, 0.495
107, 0.503
108, 0.496
109, 0.494
110, 0.493
111, 0.486
112, 0.545
113, 0.498
114, 0.482
115, 0.502
116, 0.499
117, 0.490
118, 0.497
119, 0.494
120, 0.507
121, 0.496
122, 0.498
123, 0.502
124, 0.495
125, 0.475
126, 0.504
127, 0.485
128, 0.493
129, 0.504
130, 0.501
131, 0.485
132, 0.490
133, 0.512
134, 0.491
135, 0.510
136, 0.567
137, 0.561
138, 0.530
139, 0.512
140, 0.537
141, 0.499
142, 0.485
143, 0.496
144, 0.494
145, 0.518
146, 0.490
147, 0.503
148, 0.481
149, 0.486
150, 0.479
151, 0.498
152, 0.514
153, 0.511
154, 0.498
155, 0.515
156, 0.497
157, 0.492
158, 0.496
159, 0.501
160, 0.495
161, 0.510
162, 0.501
163, 0.489
164, 0.488
165, 0.479
166, 0.506
167, 0.506
168, 0.507
169, 0.495
170, 0.504
171, 0.522
172, 0.505
173, 0.498
174, 0.480
175, 0.502
176, 0.506
177, 0.509
178, 0.503
179, 0.496
180, 0.511
181, 0.512
182, 0.482
183, 0.500
184, 0.506
185, 0.510
186, 0.498
187, 0.522
188, 0.511
189, 0.500
190, 0.500
191, 0.512
192, 0.486
193, 0.484
194, 0.484
195, 0.478
196, 0.481
197, 0.483
198, 0.490
199, 0.503
200, 0.504
201, 0.518
202, 0.499
203, 0.532
204, 0.496
205, 0.501
206, 0.490
207, 0.503
208, 0.520
209, 0.502
210, 0.497
211, 0.512
212, 0.502
213, 0.494
214, 0.507
215, 0.509
216, 0.519
217, 0.514
218, 0.507
219, 0.506
220, 0.503
221, 0.508
222, 0.520
223, 0.505
224, 0.501
225, 0.502
226, 0.508
227, 0.513
228, 0.503
229, 0.496
230, 0.494
231, 0.552
232, 0.492
233, 0.503
234, 0.490
235, 0.507
236, 0.504
237, 0.498
238, 0.480
239, 0.498
240, 0.505
241, 0.507
242, 0.497
243, 0.503
244, 0.508
245, 0.501
246, 0.504
247, 0.500
248, 0.500
249, 0.501
250, 0.516
251, 0.497
252, 0.516
253, 0.535
254, 0.510
255, 0.515
256, 0.517
257, 0.528
258, 0.500
259, 0.524
260, 0.491
261, 0.520
262, 0.497
263, 0.492
264, 0.481
265, 0.486
266, 0.500
267, 0.503
268, 0.529
269, 0.515
270, 0.506
271, 0.497
272, 0.493
273, 0.531
274, 0.514
275, 0.499
276, 0.493
277, 0.490
278, 0.519
279, 0.520
280, 0.508
281, 0.513
282, 0.522
283, 0.487
284, 0.521
285, 0.527
286, 0.519
287, 0.507
288, 0.505
289, 0.529
290, 0.531
291, 0.537
292, 0.517
293, 0.504
294, 0.513
295, 0.524
296, 0.502
297, 0.501
298, 0.536
299, 0.511
300, 0.524
301, 0.510
302, 0.513
303, 0.501
304, 0.508
305, 0.503
306, 0.518
307, 0.505
308, 0.499
309, 0.527
310, 0.509
311, 0.511
312, 0.508
313, 0.521
314, 0.498
315, 0.517
316, 0.493
317, 0.516
318, 0.515
319, 0.540
320, 0.493
321, 0.516
322, 0.519
323, 0.517
324, 0.500
325, 0.518
326, 0.517
327, 0.520
328, 0.532
329, 0.529
330, 0.487
331, 0.513
332, 0.524
333, 0.501
334, 0.504
335, 0.567
336, 0.522
337, 0.461
338, 0.536
339, 0.495
340, 0.523
341, 0.519
342, 0.495
343, 0.524
344, 0.505
345, 0.489
346, 0.517
347, 0.579
348, 0.545
349, 0.528
350, 0.488
351, 0.489
352, 0.514
353, 0.515
354, 0.516
355, 0.533
356, 0.517
357, 0.507
358, 0.492
359, 0.502
360, 0.569
361, 0.497
362, 0.528
363, 0.510
364, 0.495
365, 0.510
366, 0.530
367, 0.495
368, 0.520
369, 0.511
370, 0.504
371, 0.511
372, 0.509
373, 0.522
374, 0.517
375, 0.518
376, 0.530
377, 0.523
378, 0.507
379, 0.523
380, 0.529
381, 0.525
382, 0.550
383, 0.619
384, 0.521
385, 0.521
386, 0.514
387, 0.520
388, 0.518
389, 0.544
390, 0.508
391, 0.518
392, 0.529
393, 0.529
394, 0.508
395, 0.525
396, 0.527
397, 0.551
398, 0.522
399, 0.524
400, 0.517
401, 0.512
402, 0.534
403, 0.543
404, 0.551
405, 0.518
406, 0.541
407, 0.532
408, 0.515
409, 0.532
410, 0.513
411, 0.512
412, 0.529
413, 0.577
414, 0.514
415, 0.511
416, 0.520
417, 0.514
418, 0.521
419, 0.527
420, 0.528
421, 0.510
422, 0.515
423, 0.524
424, 0.522
425, 0.533
426, 0.535
427, 0.514
428, 0.534
429, 0.529
430, 0.523
431, 0.533
432, 0.569
433, 0.522
434, 0.499
435, 0.520
436, 0.532
437, 0.500
438, 0.555
439, 0.508
440, 0.519
441, 0.524
442, 0.534
443, 0.509
444, 0.527
445, 0.535
446, 0.523
447, 0.525
448, 0.517
449, 0.510
450, 0.530
451, 0.512
452, 0.534
453, 0.513
454, 0.521
455, 0.523
456, 0.510
457, 0.552
458, 0.517
459, 0.537
460, 0.525
461, 0.547
462, 0.531
463, 0.520
464, 0.541
465, 0.498
466, 0.520
467, 0.511
468, 0.513
469, 0.522
470, 0.504
471, 0.595
472, 0.491
473, 0.524
474, 0.516
475, 0.543
476, 0.527
477, 0.512
478, 0.515
479, 0.507
480, 0.559
481, 0.491
482, 0.564
483, 0.548
484, 0.524
485, 0.512
486, 0.503
487, 0.523
488, 0.522
489, 0.520
490, 0.536
491, 0.513
492, 0.548
493, 0.540
494, 0.503
495, 0.529
496, 0.515
497, 0.586
498, 0.492
499, 0.525
500, 0.532
501, 0.567
502, 0.505
