id, time
1, 0.588
2, 0.472
3, 0.497
4, 0.439
5, 0.497
6, 0.497
7, 0.456
8, 0.498
9, 0.495
10, 0.472
11, 0.467
12, 0.470
13, 0.446
14, 0.487
15, 0.518
16, 0.535
17, 0.496
18, 0.496
19, 0.496
20, 0.502
21, 0.556
22, 0.514
23, 0.500
24, 0.487
25, 0.492
26, 0.498
27, 0.516
28, 0.495
29, 0.484
30, 0.501
31, 0.499
32, 0.490
33, 0.493
34, 0.483
35, 0.511
36, 0.495
37, 0.485
38, 0.496
39, 0.500
40, 0.499
41, 0.511
42, 0.509
43, 0.502
44, 0.505
45, 0.518
46, 0.523
47, 0.508
48, 0.526
49, 0.516
50, 0.519
51, 0.497
52, 0.512
53, 0.504
54, 0.511
55, 0.494
56, 0.508
57, 0.508
58, 0.500
59, 0.506
60, 0.509
61, 0.496
62, 0.513
63, 0.516
64, 0.482
65, 0.495
66, 0.517
67, 0.527
68, 0.514
69, 0.530
70, 0.506
71, 0.503
72, 0.491
73, 0.479
74, 0.487
75, 0.482
76, 0.489
77, 0.481
78, 0.496
79, 0.489
80, 0.491
81, 0.473
82, 0.509
83, 0.516
84, 0.499
85, 0.492
86, 0.485
87, 0.502
88, 0.497
89, 0.495
90, 0.499
91, 0.478
92, 0.497
93, 0.488
94, 0.485
95, 0.513
96, 0.508
97, 0.491
98, 0.503
99, 0.519
100, 0.525
