id, time
1, 0.623
2, 0.483
3, 0.493
4, 0.443
5, 0.502
6, 0.492
7, 0.500
8, 0.482
9, 0.474
10, 0.447
11, 0.477
12, 0.472
13, 0.494
14, 0.521
15, 0.499
16, 0.504
17, 0.506
18, 0.505
19, 0.507
20, 0.487
21, 0.484
22, 0.501
23, 0.491
24, 0.490
25, 0.494
26, 0.514
27, 0.518
28, 0.481
29, 0.501
30, 0.500
31, 0.485
32, 0.493
33, 0.498
34, 0.501
35, 0.483
36, 0.485
37, 0.498
38, 0.500
39, 0.541
40, 0.500
41, 0.498
42, 0.485
43, 0.512
44, 0.489
45, 0.490
46, 0.516
47, 0.500
48, 0.501
49, 0.509
50, 0.525
